frame,text_box,left_x,left_y,right_x,right_y
551,matthew a,0,0,1,1
552,matthew a,0,0,0.7451195,1
553,matthew a,0,0,0.4530618,1
554,matthew a,0,0,0.1114886,1
555,matthew a,0,0,0,1
556,matthew a,0,0,-0.2755994,1
557,matthew a,0,0,-0.7844878,1
558,matthew a,0,0,-1,0.7207814
559,matthew a,0,0,-1,0.4482552
560,matthew a,0,0,-1,0.1547098
561,matthew a,0,0,-1,0
562,matthew a,0,0,-1,-0.0815428
563,matthew a,0,0,-1,-0.5369101
564,matthew a,0,0,-0.9042711,-0.9299825
565,matthew a,0,0,-0.4602335,-1
566,matthew a,0,0,0,-1
567,matthew a,0,0,0,-1
568,matthew a,0,0,0.7342092,-1
569,matthew a,0,0,1,-1
570,matthew a,0,0,1,-0.9036607
571,matthew a,0,0,1,-0.7378333
572,matthew a,0,0,1,-0.4711056
573,matthew a,0,0,1,-0.1175159
574,matthew a,0,0,1,0
575,matthew a,0,0,1,0.2757519
576,matthew a,0,0,1,0.8961838
577,matthew a,0,0,0.528594,1
578,matthew a,0,0,0.1517725,1
579,matthew a,0,0,0,1
580,matthew a,0,0,0,1
581,matthew a,0,0,0,1
582,matthew a,0,0,-0.4663372,1
583,matthew a,0,0,-0.8920639,1
584,matthew a,0,0,-1,0.7809401
585,matthew a,0,0,-1,0.3192402
586,matthew a,0,0,-1,0.05903572
587,matthew a,0,0,-1,0
588,matthew a,0,0,-1,-0.09470366
589,matthew a,0,0,-1,-0.6264043
590,matthew a,0,0,-0.5105883,-1
591,matthew a,0,0,-0.05205475,-1
592,matthew a,0,0,0,-1
593,matthew a,0,0,0.4908279,-1
594,matthew a,0,0,1,-1
595,matthew a,0,0,1,-0.9255956
596,matthew a,0,0,1,-0.6465843
597,matthew a,0,0,1,-0.4254811
598,matthew a,0,0,1,-0.16665
599,matthew a,0,0,1,0
600,matthew a,0,0,1,0.3736004
601,matthew a,0,0,0.9725553,1
602,matthew a,0,0,0.211359,1
603,matthew a,0,0,0,1
604,matthew a,0,0,0,1
605,matthew a,0,0,-0.007040575,1
606,matthew a,0,0,-0.1291128,1
607,matthew a,0,0,0,-0.2543893
608,matthew a,0,0,0,0
609,matthew a,0,0,0,0
610,matthew a,0,0,0,0
611,matthew a,0,0,0,0
612,matthew a,0,0,0,0
613,matthew a,0,0,0,0
614,matthew a,0,0,0,0
615,matthew a,0,0,0,0
616,matthew a,0,0,0,0
617,matthew a,0,0,0,0
618,matthew a,0,0,0,0
619,matthew a,0,0,0,0
620,matthew a,0,0,0,0
621,matthew a,0,0,0,0
622,matthew a,0,0,0,0
623,matthew a,0,0,0,0
624,matthew a,0,0,0,0
625,matthew a,0,0,0,0
626,matthew a,0,0,0,0
627,matthew a,0,0,0,0
628,matthew a,0,0,0,0
629,matthew a,0,0,0,0
630,matthew a,0,0,0,0
631,matthew a,0,0,0,0
632,matthew a,0,0,0,0
633,matthew a,0,0,0,0
634,matthew a,0,0,0,0
635,matthew a,0,0,0,0
636,matthew a,0,0,0,0
637,matthew a,0,0,0,0
638,matthew a,0,0,0,0
639,matthew a,0,0,0,0
640,matthew a,0,0,0,0
641,matthew a,0,0,0,0
642,matthew a,0,0,0,0
643,matthew a,0,0,0,0
644,matthew a,0,0,0,0
645,matthew a,0,0,0,0
646,matthew a,0,0,0,0
647,matthew a,0,0,0,0
648,matthew a,0,0,0,0
649,matthew a,0,0,0,0
650,matthew a,0,0,0,0
651,matthew a,0,0,0,0
652,matthew a,0,0,0,0
653,matthew a,0,0,0,0
654,matthew a,0,0,0,0
655,matthew a,0,0,0,0
656,matthew a,0,0,0,0
657,matthew a,0,0,0,0
658,matthew a,0,0,0,0
659,matthew a,0,0,0,0
660,matthew a,0,0,0,0
661,matthew a,0,0,0,0
662,matthew a,0,0,0,0
663,matthew a,0,0,0,0
664,matthew a,0,0,0,0
665,matthew a,0,0,0,0
666,matthew a,0,0,0,0
667,matthew a,0,0,0,0
668,matthew a,0,0,0,0
669,matthew a,0,0,0,0
670,matthew a,0,0,0,0
671,matthew a,0,0,0,0
672,matthew a,0,0,0,0
673,matthew a,0,0,0,0
674,matthew a,0,0,0,0
675,matthew a,0,0,0,0
676,matthew a,0,0,0,0
677,matthew a,0,0,0,0
678,matthew a,0,0,0,0
679,matthew a,0,0,0,0
680,matthew a,0,0,0,0
681,matthew a,0,0,0,0
682,matthew a,0,0,0,0
683,matthew a,0,0,0,0
684,matthew a,0,0,0,0
685,matthew a,0,0,0,0
686,matthew a,0,0,0,0
687,matthew a,0,0,0,0
688,matthew a,0,0,0,0
689,matthew a,0,0,0,0
690,matthew a,0,0,0,0
691,matthew a,0,0,0,0
692,matthew a,0,0,0,0
693,matthew a,0,0,0,0
694,matthew a,0,0,0,0
695,matthew a,0,0,0,0
696,matthew a,0,0,0,0
697,matthew a,0,0,0,0
698,matthew a,0,0,0,0
699,matthew a,0,0,0,0
700,matthew a,0,0,0,0
701,matth
